SID,LAT,LON,UNI_WIND,UNI_PRES,ISO_TIME,UNI_CAT
1954000000,-12.54,165.12,22.93,989.07,1954-01-02 00:00:00,1.9
1954000000,-13.24,164.65,27.52,985.07,1954-01-02 06:00:00,1.9
1954000000,-13.95,165.12,27.03,983.78,1954-01-02 12:00:00,1.9
1954000000,-15.12,165.59,26.48,981.9,1954-01-02 18:00:00,1.9
1954000000,-16.05,166.05,30.78,978.93,1954-01-03 00:00:00,1.9
1954000000,-16.99,166.76,33.42,971.58,1954-01-03 06:00:00,2.9
1954000000,-17.7,167.23,33.5,977.82,1954-01-03 12:00:00,2.9
1954000000,-18.16,167.46,36.23,975.85,1954-01-03 18:00:00,2.9
1954000000,-17.93,167.7,35.62,976.51,1954-01-04 00:00:00,2.9
1954000000,-17.7,168.4,31.57,976.58,1954-01-04 06:00:00,1.9
1954000000,-17.46,169.57,28.53,979.65,1954-01-04 12:00:00,1.9
1954000000,-17.46,170.51,27.91,978.97,1954-01-04 18:00:00,1.9
1954000000,-17.93,171.91,24.91,981.06,1954-01-05 00:00:00,1.9
1954000000,-17.93,173.79,22.12,977.58,1954-01-05 06:00:00,1.9
1954000000,-18.4,176.13,25.73,981.11,1954-01-05 12:00:00,1.9
1954000000,-18.87,178.01,24.43,981.79,1954-01-05 18:00:00,1.9
1954000000,-19.57,180.12,26.51,982.1,1954-01-06 00:00:00,1.9
1954000018,6.21,90.82,22.0,999.67,1954-01-06 12:00:00,1.9
1954000018,6.68,90.35,20.88,1001.06,1954-01-06 18:00:00,1.9
1954000018,7.62,88.24,18.55,1002.24,1954-01-07 06:00:00,1.9
1954000018,7.85,87.3,21.09,999.76,1954-01-07 12:00:00,1.9
1954000018,7.85,85.9,19.16,1000.69,1954-01-07 18:00:00,1.9
1954000018,7.38,84.73,25.38,993.4,1954-01-08 00:00:00,1.9
1954000018,7.38,83.79,27.71,993.77,1954-01-08 06:00:00,1.9
1954000018,7.15,82.85,20.95,994.96,1954-01-08 12:00:00,1.9
1954000018,7.15,81.68,20.79,999.45,1954-01-08 18:00:00,1.9
1954000018,6.91,80.27,17.95,1002.57,1954-01-09 00:00:00,1.9
1954000018,6.91,79.57,20.01,1002.52,1954-01-09 06:00:00,1.9
1954000018,6.91,78.63,17.66,1002.38,1954-01-09 12:00:00,1.9
